flight_id,case_id,flight_purpose,takeoff,landing,duration_min,geometry_type,num_points,start_lat,start_lon,end_lat,end_lon,shape_length
04dc6f30-8911-4a26-b6e8-1fc047629206,PD202600390493,PERSON WITH WEAPON ,2026-05-26 19:03:18 UTC,2026-05-26 19:18:35 UTC,15.3,LineString,933,36.273423,-86.690738,36.273421,-86.690740,0.07830714439767032
c4ee5275-12ee-46fc-9614-7d26be687a07,PD202600390493,PERSON WITH WEAPON ,2026-05-26 19:12:35 UTC,2026-05-26 19:24:00 UTC,11.4,MultiLineString,937,36.273417,-86.690735,36.252923,-86.717998,0.07581392799874287
5ad6cf0e-8f8b-4d77-9edb-ef552265635e,PD202600390721,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-26 20:34:37 UTC,2026-05-26 20:42:42 UTC,8.1,MultiLineString,634,36.273404,-86.690740,36.264144,-86.710587,0.044121711183590616
7d44855b-9d5c-4f4d-8dfd-daeedda8bf1d,PD202600390744,HOLDUP / ROBBERY,2026-05-26 20:56:33 UTC,2026-05-26 21:09:39 UTC,13.1,MultiLineString,976,36.293093,-86.699645,36.273414,-86.690744,0.055796348302764316
3f2a3e15-aaa6-4c17-8544-3b4d0a7ac68d,PD202600390721,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-26 21:55:47 UTC,2026-05-26 22:03:23 UTC,7.6,MultiLineString,582,36.273405,-86.690737,36.264137,-86.711014,0.044719812901211936
d015ceb2-873a-4560-8f32-390eb242dc8f,PD202600390843,SAFETY HAZARD ,2026-05-26 21:30:01 UTC,2026-05-26 21:41:15 UTC,11.2,LineString,692,36.273387,-86.690739,36.273378,-86.690742,0.046019532821858486
28637e47-cb0f-4326-beb7-c3869d4f1126,PD202600390784,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-26 21:09:54 UTC,2026-05-26 21:18:04 UTC,8.2,MultiLineString,649,36.293450,-86.699885,36.293450,-86.699885,0.04530293386432065
07b42f35-0576-4c9f-bffc-33daa5eb503b,PD202600391002,SUSPICIOUS PERSON,2026-05-26 22:28:39 UTC,2026-05-26 22:35:28 UTC,6.8,LineString,427,36.273382,-86.690747,36.273374,-86.690745,0.033757561742167395
78224bb1-18a4-445d-a170-62c8473314ad,PD202600391110,THEFT,2026-05-26 23:05:57 UTC,2026-05-26 23:24:30 UTC,18.5,MultiLineString,1650,36.273382,-86.690753,36.263638,-86.714369,0.07113102112483691
e9b9b7d9-c682-4010-a878-c7bab142c7d4,PD202600391211,VEHICLE ACCIDENT - PROPERTY DAMAGE,2026-05-26 23:51:10 UTC,2026-05-27 00:05:44 UTC,14.6,MultiLineString,1518,36.273409,-86.690746,36.262582,-86.713686,0.05562491286133526
2eee7974-6443-49e7-952d-bf1f4c539b18,PD202600391240,SHOTS FIRED,2026-05-27 00:02:55 UTC,2026-05-27 00:26:28 UTC,23.5,MultiLineString,2592,36.273422,-86.690741,36.267168,-86.681658,0.02757250721476074
af207d28-2295-4065-8042-5e0ae5c27602,PD202600391240,SHOTS FIRED,2026-05-27 00:24:08 UTC,2026-05-27 00:34:09 UTC,10.0,MultiLineString,810,36.273379,-86.690742,36.268523,-86.682010,0.021927006648548714
dfbb3117-a792-491d-89e4-5fb97df02ba6,PD202600324534,THEFT,2026-05-27 00:31:52 UTC,2026-05-27 00:50:33 UTC,18.7,MultiLineString,3078,36.297613,-86.700414,36.273393,-86.690747,0.0567546791965759
72a72e4f-66c8-42ba-ba52-35d4d20379b8,PD202600324534,THEFT,2026-05-27 00:47:45 UTC,2026-05-27 01:04:06 UTC,16.3,MultiLineString,3071,36.295654,-86.696809,36.273363,-86.690752,0.04794706323886971
